processes,kosaraju_time,comm_time,elapsed
2,0.062045,0.007382,0.069427
2,0.061495,0.007391,0.068886
2,0.061403,0.007385,0.068789
2,0.061438,0.007381,0.068819
2,0.061321,0.007389,0.068710
