| Version  | Processes | OMP |         Tarjan        |    Communication     |       Elapsed        |       Speedup       |      Efficiency      |
|  Serial  |     1     |  0  |  0.04560499999999999  |         0.0          | 0.04560499999999999  |         1.0         |         1.0          |
| Parallel |     1     |  1  |       0.0492506       |         0.0          |      0.0492506       |  0.9259785667585775 |  0.9259785667585775  |
| Parallel |     1     |  2  |       0.0485512       |         0.0          |      0.0485512       |  0.9393176687702877 |  0.9393176687702877  |
| Parallel |     1     |  4  |  0.048725199999999996 |         0.0          | 0.048725199999999996 |  0.9359633208278262 |  0.9359633208278262  |
| Parallel |     1     |  8  |  0.048760200000000004 |         0.0          | 0.048760200000000004 |  0.9352914877297466 |  0.9352914877297466  |
| Parallel |     1     |  16 |  0.048698399999999996 |         0.0          | 0.048698399999999996 |  0.9364784058613834 |  0.9364784058613834  |
| Parallel |     2     |  1  |       0.0131826       |      0.0203682       |      0.0335502       |  1.359306352868239  |  0.6796531764341195  |
| Parallel |     2     |  2  |  0.013225999999999998 |       0.01062        |       0.023846       |  1.9124800805166482 |  0.9562400402583241  |
| Parallel |     2     |  4  |        0.013173       |      0.0106296       |      0.0238026       |  1.915967163251073  |  0.9579835816255365  |
| Parallel |     2     |  8  |  0.013227799999999998 |       0.010765       |      0.0239928       |  1.9007785669034039 |  0.9503892834517019  |
| Parallel |     2     |  16 |  0.013231399999999999 | 0.018489399999999996 |      0.0317212       |  1.4376820549033453 |  0.7188410274516727  |
| Parallel |     4     |  1  |        0.004437       |      0.0740082       |       0.078445       |  0.5813627382242335 | 0.14534068455605836  |
| Parallel |     4     |  2  |       0.0044036       |      0.0541478       | 0.058551200000000005 |  0.7788909535585947 | 0.19472273838964868  |
| Parallel |     4     |  4  |       0.0044406       |       0.052409       |      0.0568496       |  0.802204413047761  | 0.20055110326194026  |
| Parallel |     4     |  8  |  0.004529999999999999 | 0.054259199999999994 |      0.0587892       |  0.7757377205337034 | 0.19393443013342584  |
| Parallel |     4     |  16 |  0.004472800000000001 | 0.07025060000000001  |      0.0747234       |  0.6103175176718404 |  0.1525793794179601  |
| Parallel |     8     |  1  | 0.0024000000000000002 |       0.179439       |      0.1818388       |  0.2507990593866655 | 0.03134988242333319  |
| Parallel |     8     |  2  |       0.0022718       | 0.12442020000000001  | 0.12669199999999997  | 0.35996748018817293 | 0.044995935023521616 |
| Parallel |     8     |  4  | 0.0026988000000000003 |      0.1336816       | 0.13638019999999998  |  0.3343960486932854 | 0.04179950608666067  |
| Parallel |     8     |  8  | 0.0025118000000000002 | 0.13163719999999998  | 0.13414900000000002  | 0.33995780810889376 | 0.04249472601361172  |
| Parallel |     8     |  16 | 0.0025677999999999994 |      0.1604892       |      0.1630568       | 0.27968781430765227 | 0.034960976788456534 |
