processes,tarjan_time,comm_time,elapsed
4,0.004281,0.044800,0.049080
4,0.004177,0.055925,0.060102
4,0.004301,0.045508,0.049809
4,0.004501,0.057712,0.062213
4,0.004282,0.064282,0.068564
