processes,kosaraju_time,comm_time,elapsed
4,0.001354,0.033807,0.035161
4,0.001061,0.029639,0.030701
4,0.001341,0.034853,0.036194
4,0.001354,0.029307,0.030661
4,0.001063,0.030318,0.031381
